ParameterName							Min			Max			#levels		Type	cdelta	
plastochronconst[commonbean]			0.8			0.95		4			0		2
phyllochron[commonbean]					50			75			4			0		2
finalPhytNum[commonbean]				4			14			6			1		3
wmaxRoot[commonbean]					5000		15000		4			0		2
wmaxFlower[commonbean]					1000		3000		4			0		2
wmaxInt[commonbean]						150			450			4			0		2
wmaxLeaf[commonbean]					1000		3000		4			0		2
teRoot[commonbean]						1620		1980		4			0		2
teFlower[commonbean]					225			275			4			0		2
teLeaf[commonbean]						225			275			4			0		2
specificInternodeLength[commonbean]		0.05		0.15		4			0		2
nitro[commonbean]						1			3			4			0		2
LMA[commonbean]							2.25		6.75		4			0		2
leafLife[commonbean]					4			12			4			0		2
leafAngleLower[commonbean]				63			117			4			0		2
leafAngleUpper[commonbean]				63			117			4			0		2
leafCurve[commonbean]					21			39			4			0		2
petioleFraction[commonbean]				0.0425		0.0575		4			0		2
varDelay[commonbean]					0			3			4			1		2
seedMass[commonbean]					150			600			4			0		2
tb[commonbean]							8			14			4			0		2
fallPAR									20			100			4			0		2
rg_SA									0.289		0.391		4			0		2
kNkL_SA									0.2			1			4			0		2
rm_SA									0.01445		0.01955		4			0  		2
fCO2_SA									0.51		0.69		4			0		2
tav_a									21.33		26.07		4			0  		2
tav_b									253.2465	309.5235	4			0		2
global_alpha_helix						35			75			4			0		2
Lmax									0.05		0.15		4			0		2
branchConstant							0.6			0.9			4			0		2
