time(d)	species	LAI	nrShoots	fAbs	assCO2(umol/m2)	biomAbove(gr/m2)	yield(gr/m2)	harvestIndex	leafArea	fieldRFR	
1	16	0.0	10.0	0.0	0.0	3.0	0.0	NaN	0.0	1.200000000000002	
2	16	0.0	10.0	0.0	0.0	2.9438614596153565	0.0	NaN	0.0	1.200000000000002	
3	16	0.014466759747911704	10.0	0.0	0.0	2.1582071213336165	0.0	0.0	0.14466759747911703	1.200000000000002	
4	16	0.02143883586043848	10.0	0.0037823578520323102	15034.86351901127	2.187483874327838	0.0	0.0	0.2143883586043848	0.452449652784273	
5	16	0.02419237292245215	10.0	0.006274527090650174	15320.364270548762	2.439760428578416	0.0	0.0	0.2419237292245215	0.5812176284317728	
6	16	0.027507269221162634	10.0	0.007911087110199335	18604.191716668196	2.747569070443652	0.0	0.0	0.27507269221162634	0.6540959762376706	
7	16	0.03157175313905412	10.0	0.009692245744767715	21992.35920176259	3.1123543919353756	0.0	0.0	0.31571753139054126	0.5074476222288422	
8	16	0.03681491570024026	10.0	0.011981512993724132	26495.151681805804	3.5531584658733086	0.0	0.0	0.3681491570024026	0.5682832491786933	
9	16	0.04330473017551038	11.1	0.014501492700061904	31913.590389930963	4.085427379853154	0.0	0.0	0.43304730175510375	0.6508771739402746	
10	16	0.05084830421705404	11.6	0.017228512288961825	37828.72935251173	4.717201864738383	0.0	0.0	0.5084830421705404	0.5265857055619599	
11	16	0.05977179721393272	11.3	0.02030321334822608	44047.126630990875	5.453097222824809	0.0	0.0	0.5977179721393272	0.558740060499533	
12	16	0.07033918923793006	13.1	0.023633604136358562	52475.46810227472	6.330927331388468	0.0	0.0	0.7033918923793007	0.6031913594552236	
13	16	0.08205473994232979	14.0	0.027422840758450057	60840.66787284495	7.348636254654788	0.0	0.0	0.8205473994232978	0.5361869396963502	
14	16	0.09559492265919275	12.6	0.031818458765528274	71351.44583585233	8.542675379357854	0.0	0.0	0.9559492265919275	0.5714614679485094	
15	16	0.11142530249580178	12.7	0.03658862418139477	82546.53761930495	9.923783844471759	0.0	0.0	1.1142530249580178	0.5875735495038543	
16	16	0.12947699545961217	15.2	0.043238372997670714	94931.18885378349	11.511433893726958	0.0	0.0	1.2947699545961215	0.6266462968125058	
17	16	0.1493496325886136	14.8	0.05065759688135102	110619.1482844842	13.361805012290455	0.0	0.0	1.4934963258861362	0.5831389334660758	
18	16	0.172079778610613	14.4	0.05968197240594251	128176.04195737097	15.505700273139093	0.0	0.0	1.7207977861061299	0.6205364366139016	
19	16	0.19848445137952808	16.8	0.07011092800898008	148902.813524362	17.99638817689036	0.0	0.0	1.9848445137952808	0.6545221565807566	
20	16	0.22893805418671556	15.9	0.08218496453174691	173190.6561447981	20.89359631934883	0.0	0.0	2.2893805418671556	0.6145525572361732	
21	16	0.2640432813050412	16.9	0.09735706085977884	205341.7595344767	24.33162860042345	0.0	0.0	2.6404328130504116	0.656181700598745	
22	16	0.30560041712489533	14.4	0.11411529483352242	239521.93235839074	28.342206732950142	0.0	0.0	3.0560041712489534	0.6834230253443246	
23	16	0.3537777322688257	17.6	0.13282385640583108	278817.06775779364	33.02616447456445	0.0	0.0	3.537777322688257	0.7063414897356397	
24	16	0.40567332612143475	17.3	0.15529239234830405	318369.1803701095	38.492858538943025	0.0	0.0	4.056733261214347	0.6834726555021478	
25	16	0.4604717946492573	15.6	0.17898971892838617	372608.8021803026	45.06825284053781	0.0	0.0	4.604717946492573	0.7024270954312635	
26	16	0.519862803267281	18.9	0.20217015093758256	432385.87279886816	52.914117070961154	0.0	0.0	5.19862803267281	0.718761932433186	
27	16	0.5811634310150652	20.0	0.2273172851789564	486970.1168222401	61.996102661573204	0.0	0.0	5.811634310150652	0.6979561695797442	
28	16	0.6405382194510674	18.0	0.2544195142074035	535031.3854341398	72.27782675431448	0.0	0.0	6.405382194510674	0.7081338506346533	
29	16	0.705138521463654	19.8	0.2791062619980026	592253.770716723	83.61415442269607	0.0	0.0	7.0513852146365394	0.7170984084082888	
30	16	0.7727853843226401	22.2	0.304588240867699	641883.905229023	96.02339353360819	0.0	0.0	7.727853843226401	0.7172587757080292	
31	16	0.8407688875634551	21.4	0.3298768571136785	681933.0548416812	109.38560325051006	0.0	0.0	8.407688875634552	0.6981269612289741	
32	16	0.9063608744420206	21.3	0.3535616496508423	734152.8247427775	124.03381472363048	0.0	0.0	9.063608744420206	0.6920424070661647	
33	16	0.9768612750710549	22.8	0.37645811487757336	786898.1757903717	139.5726766341237	0.0	0.0	9.768612750710549	0.6906147587794323	
34	16	1.0509647030438385	23.6	0.39584405919219406	853107.7182919139	156.56327659847705	0.0	0.0	10.509647030438385	0.6716562578077198	
35	16	1.1262282098981655	21.8	0.41761387156171215	914684.9192464473	175.01456482878007	0.0	0.0	11.262282098981656	0.6634249736855469	
36	16	1.2003309995400584	22.2	0.43747121074357914	962322.136292357	194.56289510235788	0.0	0.0	12.003309995400583	0.660467578997151	
37	16	1.279727428585024	23.6	0.45592297509927493	1013950.7324807936	214.94665631375977	0.0	0.0	12.79727428585024	0.6545312105152898	
38	16	1.364591953090251	23.8	0.47178163733946676	1056241.7997634355	234.6491879421404	2.668813363473723	0.02133322136564687	13.64591953090251	0.6360679509107949	
39	16	1.4520832621072264	23.7	0.4911158632491056	1116562.7467571418	254.4709850533367	7.718024605447565	0.055874380132910434	14.520832621072264	0.627568882182863	
40	16	1.5401151447782597	23.9	0.5056635021560352	1164770.0334809213	274.24576922381243	14.871612074120339	0.09699436936669655	15.401151447782597	0.6200686982906874	
41	16	1.6332899092405575	27.2	0.5208516274259563	1196906.8557183123	293.4244260949028	23.846447849259462	0.1395142499132809	16.332899092405576	0.611854682906967	
42	16	1.7321056063668223	27.7	0.5331892992214824	1230301.1045199556	312.121747742992	34.655959145053416	0.1816487826607681	17.321056063668223	0.5960211815853433	
43	16	1.8324853810092478	29.3	0.5469011217978532	1245003.6375297622	330.3296563244313	46.83418861186484	0.22093159358137296	18.324853810092478	0.5864630993926429	
44	16	1.9319465670885119	29.6	0.5580493217051307	1255203.2415153803	348.0666013847516	60.123094717855864	0.2566479068607628	19.31946567088512	0.5814214670403773	
