time(d)	species	LAI	nrShoots	fAbs	assCO2(umol/m2)	biomAbove(gr/m2)	yield(gr/m2)	harvestIndex	leafArea	fieldRFR	
1	9	0.0	9.999999999999998	0.0	0.0	2.75	0.0	NaN	0.0	1.2	
1	16	0.0	9.999999999999998	0.0	0.0	2.9999999999999996	0.0	NaN	0.0	1.2	
2	9	0.0	9.999999999999998	0.0	0.0	2.7256288478621036	0.0	NaN	0.0	1.2	
2	16	0.0	9.999999999999998	0.0	0.0	2.9999999999999996	0.0	NaN	0.0	1.2	
3	9	0.0011026275033237944	9.999999999999998	0.0	0.0	2.576625639412363	0.0	0.0	6.615765019942768E-4	1.2	
3	16	0.0	9.999999999999998	0.0	0.0	2.9999999999999996	0.0	NaN	0.0	1.2	
4	9	0.005940158238501454	9.999999999999998	9.99836751232216E-4	1511.5177626522636	2.2874975032847886	0.0	0.0	0.003564094943100873	1.1984266198418536	
4	16	0.0	9.999999999999998	0.0	0.0	2.9999999999999996	0.0	NaN	0.0	1.2	
5	9	0.01237364115046951	9.999999999999998	0.004983041618011267	8171.794477142789	2.1357188673607634	0.0	0.0	0.007424184690281707	1.1676979771241165	
5	16	0.0	9.999999999999998	0.0	0.0	2.9999999999999996	0.0	NaN	0.0	1.2	
6	9	0.01798226227203205	9.999999999999998	0.009622150307996171	17201.101901245478	2.286709997046662	0.0	0.0	0.01078935736321923	1.108229249074095	
6	16	0.0	9.999999999999998	0.0	0.0	2.9999999999999996	0.0	NaN	0.0	1.2	
7	9	0.023751730280057486	9.999999999999998	0.013791231868519233	23899.19829363626	2.625359764651413	0.0	0.0	0.014251038168034495	1.0508730160734088	
7	16	0.0	9.999999999999998	0.0	0.0	2.9999999999999996	0.0	NaN	0.0	1.2	
8	9	0.029540070769766228	9.999999999999998	0.018027961146568842	30988.288574050363	3.147748496452787	0.0	0.0	0.01772404246185974	1.0099262049494973	
8	16	0.0	9.999999999999998	0.0	0.0	2.9999999999999996	0.0	NaN	0.0	1.2	
9	9	0.03664152813177397	9.999999999999998	0.022885730269502833	38368.281676813196	3.795238731906899	0.0	0.0	0.021984916879064387	0.997855414568665	
9	16	0.0	9.999999999999998	0.0	0.0	2.9999999999999996	0.0	NaN	0.0	1.2	
10	9	0.04552874703755528	9.999999999999998	0.02992671356835273	48422.32865500136	4.61359159166992	0.0	0.0	0.02731724822253317	1.0168509168909923	
10	16	0.0	9.999999999999998	0.0	0.0	2.9999999999999996	0.0	NaN	0.0	1.2	
11	9	0.056980317557197284	9.999999999999998	0.040186252711317365	62995.23283714015	5.680411291151162	0.0	0.0	0.034188190534318375	1.0467213079209277	
11	16	0.0	9.999999999999998	0.0	0.0	2.9999999999999996	0.0	NaN	0.0	1.2	
12	9	0.07196405482000419	9.999999999999998	0.05206385540025916	83184.2356756536	7.0919022943249965	0.0	0.0	0.04317843289200252	1.0692584518174475	
12	16	0.0	9.999999999999998	0.0	0.0	2.9999999999999996	0.0	NaN	0.0	1.2	
13	9	0.09127817913583564	9.999999999999998	0.06821578676141145	108186.34312649615	8.929626868634449	0.0	0.0	0.05476690748150139	1.0631124701818602	
13	16	0.0	9.999999999999998	0.0	0.0	2.9999999999999996	0.0	NaN	0.0	1.2	
14	9	0.11623370152527751	9.999999999999998	0.08792435253966568	141051.0488330865	11.327744657575881	0.0	0.0	0.06974022091516652	1.0809998738661544	
14	16	0.0	9.999999999999998	0.0	0.0	2.9999999999999996	0.0	NaN	0.0	1.2	
15	9	0.1481487172310638	9.999999999999998	0.11109807222413355	182038.24649570047	14.42404155893829	0.0	0.0	0.08888923033863828	1.0833610629603836	
15	16	0.0	9.999999999999998	0.0	0.0	2.9999999999999996	0.0	NaN	0.0	1.2	
16	9	0.18859033212533546	9.999999999999998	0.13816327285936206	232745.22161430007	18.383213323648672	0.0	0.0	0.11315419927520129	1.0629831290032603	
16	16	0.0	9.999999999999998	0.0	0.0	2.9999999999999996	0.0	NaN	0.0	1.2	
17	9	0.23947995894866014	9.999999999999998	0.17250347932896143	295372.8012480727	23.40720289679323	0.0	0.0	0.1436879753691961	1.0527260393391527	
17	16	0.0	9.999999999999998	0.0	0.0	2.9999999999999996	0.0	NaN	0.0	1.2	
18	9	0.3023383629942743	9.999999999999998	0.2097018769257604	367988.53821332403	29.662915131332298	0.0	0.0	0.18140301779656462	1.0357068847889066	
18	16	0.0	9.999999999999998	0.0	0.0	2.9999999999999996	0.0	NaN	0.0	1.2	
19	9	0.3798458300245576	9.999999999999998	0.2546461407868749	457604.4100225195	37.43833574036424	0.0	0.0	0.2279074980147346	1.016584025827064	
19	16	0.0	9.999999999999998	0.0	0.0	2.9999999999999996	0.0	NaN	0.0	1.2	
20	9	0.4733844668571538	9.999999999999998	0.30416294515514586	557214.3327744763	46.89740996718037	0.0	0.0	0.28403068011429233	0.9959133334866491	
20	16	0.0	9.999999999999998	0.0	0.0	2.9999999999999996	0.0	NaN	0.0	1.2	
21	9	0.5846501476818187	9.999999999999998	0.3594473261174385	668913.6876967051	58.23949759591198	0.0	0.0	0.3507900886090913	0.9587848600426833	
21	16	0.0	9.999999999999998	0.0	0.0	2.9999999999999996	0.0	NaN	0.0	1.2	
22	9	0.7151640250633253	9.999999999999998	0.4133317222403388	792163.3177653877	71.65321991357875	0.0	0.0	0.4290984150379953	0.9308015244585205	
22	16	0.0	9.999999999999998	0.0	0.0	2.9999999999999996	0.0	NaN	0.0	1.2	
23	9	0.8617573964069701	9.999999999999998	0.4669794763470208	922501.2604913913	87.24816550491411	0.40578329788683815	0.00515711250734841	0.5170544378441821	0.8966352078803578	
23	16	0.0	9.999999999999998	0.0	0.0	2.9999999999999996	0.0	NaN	0.0	1.2	
