time(d)	species	LAI	nrShoots	fAbs	assCO2(umol/m2)	biomAbove(gr/m2)	yield(gr/m2)	harvestIndex	leafArea	fieldRFR	
1	16	0.0	9.999999999999998	0.0	0.0	2.9999999999999996	0.0	NaN	0.0	1.2	
2	16	0.0	9.999999999999998	0.0	0.0	2.943861459615354	0.0	NaN	0.0	1.2	
3	16	0.019289012997215582	9.999999999999998	0.0	0.0	2.158207121333616	0.0	0.0	0.011573407798329351	1.2	
4	16	0.030277402984415724	9.999999999999998	0.004927477563888187	22044.842129160428	2.3096535011463746	0.0	0.0	0.018166441790649437	0.5874337435906932	
5	16	0.03638410866843648	9.999999999999998	0.008760073649301175	24969.45662136079	2.729271604995468	0.0	0.0	0.02183046520106189	0.7582951179524252	
6	16	0.04417315534161593	9.999999999999998	0.012283523749189668	32179.288747912276	3.2717175056777044	0.0	0.0	0.02650389320496956	0.8790476053382396	
7	16	0.054753199589836245	9.999999999999998	0.01706689406534242	42127.15149177634	3.9838826145421002	0.0	0.0	0.032851919753901754	0.7188764557376729	
8	16	0.0695070916462555	9.999999999999998	0.024326489228618495	54918.26526468648	4.914176447083347	0.0	0.0	0.041704254987753306	0.8169456901408245	
9	16	0.09003088966009158	19.999999999999996	0.03386681749954511	74337.03009691501	6.176636998289411	0.0	0.0	0.05401853379605496	0.8947983668803215	
10	16	0.11719918646926869	19.999999999999996	0.04637860964054417	100303.77581917614	7.883146070842493	0.0	0.0	0.07031951188156123	0.8457637642513715	
11	16	0.15412413662970167	19.999999999999996	0.06104219142546508	134088.66517986858	10.166968624701726	0.0	0.0	0.09247448197782102	0.8881076884579612	
12	16	0.20222462007093292	29.999999999999996	0.07988436705648604	175879.08507224344	13.16373825139589	0.0	0.0	0.12133477204255977	0.9210758676330167	
13	16	0.2624543168046136	29.999999999999996	0.10329723527972917	230242.25216198122	17.087772726476416	0.0	0.0	0.1574725900827682	0.8643416551947419	
14	16	0.3390276961546005	29.999999999999996	0.13060100122788756	297194.53515150317	22.152232311320763	0.0	0.0	0.20341661769276032	0.8815402611458838	
15	16	0.4369599036693321	29.999999999999996	0.1637193478623851	376242.542696145	28.560243467807652	0.0	0.0	0.2621759422015993	0.8870182692335714	
16	16	0.5507275796382254	39.99999999999999	0.2023078861952616	479405.1133553393	37.06218831417097	0.0	0.0	0.3304365477829353	0.8797881159801775	
17	16	0.6555366733628084	39.99999999999999	0.24296847014045075	589352.7245996498	48.476105475953936	0.0	0.0	0.39332200401768513	0.8228064100988598	
