time(d)	species	LAI	nrShoots	fAbs	assCO2(umol/m2)	biomAbove(gr/m2)	yield(gr/m2)	harvestIndex	leafArea	fieldRFR	
1	9	0.0	20.0	0.0	0.0	5.5	0.0	NaN	0.0	1.200000000000002	
1	16	0.0	20.0	0.0	0.0	6.0	0.0	NaN	0.0	1.200000000000002	
2	9	0.0	20.0	0.0	0.0	5.3917920845077445	0.0	NaN	0.0	1.200000000000002	
2	16	0.0	20.0	0.0	0.0	6.0	0.0	NaN	0.0	1.200000000000002	
3	9	0.004895666114757647	20.0	0.0	0.0	4.99838344857213	0.0	0.0	0.024478330573788235	1.200000000000002	
3	16	0.0	20.0	0.0	0.0	6.0	0.0	NaN	0.0	1.200000000000002	
4	9	0.014232458223612226	20.0	0.0021562963982418486	6612.175116133758	4.599574843881127	0.0	0.0	0.07116229111806113	1.197376268729081	
4	16	0.0	20.0	0.0	0.0	6.0	0.0	NaN	0.0	1.200000000000002	
5	9	0.023395407872563834	20.0	0.00567211996935852	19350.95569534474	4.530267738771363	0.0	0.0	0.11697703936281917	1.1528147154552464	
5	16	0.0	20.0	0.0	0.0	6.0	0.0	NaN	0.0	1.200000000000002	
6	9	0.035406381658201584	20.0	0.009033166668427968	30940.449643712687	4.681697295130172	0.0	0.0	0.17703190829100793	1.0914322950139352	
6	16	0.0	20.0	0.0	0.0	6.0	0.0	NaN	0.0	1.200000000000002	
7	9	0.04759431061902029	20.0	0.013158615032131744	45344.241711971445	5.260523066670495	0.0	0.0	0.23797155309510143	1.0474844275484936	
7	16	0.0	20.0	0.0	0.0	6.0	0.0	NaN	0.0	1.200000000000002	
8	9	0.05882686234744564	20.0	0.017514211325951295	60344.82685271346	6.276796453981686	0.0	0.0	0.2941343117372282	1.002580279902576	
8	16	0.0	20.0	0.0	0.0	6.0	0.0	NaN	0.0	1.200000000000002	
9	9	0.07256972557334847	20.0	0.022554860240570965	74413.03086068039	7.53140838557218	0.0	0.0	0.3628486278667423	1.0088750848536838	
