time(d)	species	LAI	nrShoots	fAbs	assCO2(umol/m2)	biomAbove(gr/m2)	yield(gr/m2)	harvestIndex	leafArea	fieldRFR	
1	9	0.0	2.5	0.0	0.0	0.6875	0.0	NaN	0.0	1.200000000000002	
1	16	0.0	2.5	0.0	0.0	0.75	0.0	NaN	0.0	1.200000000000002	
2	9	0.0	2.5	0.0	0.0	0.6765329815379472	0.0	NaN	0.0	1.200000000000002	
2	16	0.0	2.5	0.0	0.0	0.75	0.0	NaN	0.0	1.200000000000002	
3	9	4.961823764957075E-4	2.5	0.0	0.0	0.633893352738203	0.0	0.0	0.0198472950598283	1.200000000000002	
3	16	0.0	2.5	0.0	0.0	0.75	0.0	NaN	0.0	1.200000000000002	
4	9	0.0015574381333764797	2.5	2.2810680058237592E-4	616.252258905969	0.5821575731907205	0.0	0.0	0.06229752533505919	1.2109626779139846	
4	16	0.0	2.5	0.0	0.0	0.75	0.0	NaN	0.0	1.200000000000002	
5	9	0.002744228964847913	2.5	6.80708621186751E-4	2146.057232435229	0.5632678326592864	0.0	0.0	0.10976915859391652	1.212580400469389	
5	16	0.0	2.5	0.0	0.0	0.75	0.0	NaN	0.0	1.200000000000002	
6	9	0.004319748771626826	2.5	0.0011502889806604883	3972.0767677438284	0.5809374132429438	0.0	0.0	0.17278995086507304	1.171502058183497	
6	16	0.0	2.5	0.0	0.0	0.75	0.0	NaN	0.0	1.200000000000002	
7	9	0.006001284729807131	2.5	0.0017419740074921604	6276.6713564949505	0.6620526746015422	0.0	0.0	0.24005138919228525	1.1314966662109773	
7	16	0.0	2.5	0.0	0.0	0.75	0.0	NaN	0.0	1.200000000000002	
8	9	0.007691307863013123	2.5	0.00230550451757497	9021.614206204224	0.8148240675172836	0.0	0.0	0.30765231452052494	1.0957549603562453	
8	16	0.0	2.5	0.0	0.0	0.75	0.0	NaN	0.0	1.200000000000002	
9	9	0.00990473409520284	2.5	0.0031667410062887645	11895.543534510907	1.016653728792472	0.0	0.0	0.3961893638081136	1.1055353252357596	
9	16	0.0	2.5	0.0	0.0	0.75	0.0	NaN	0.0	1.200000000000002	
10	9	0.012823655950325632	2.5	0.0042376655281948505	15823.084682720035	1.2855737028172987	0.0	0.0	0.5129462380130253	1.0912392092896617	
10	16	0.0	2.5	0.0	0.0	0.75	0.0	NaN	0.0	1.200000000000002	
11	9	0.016654395507774852	2.5	0.005671025051213188	20985.889067279517	1.642660455878918	0.0	0.0	0.6661758203109941	1.0480780566812613	
11	16	0.0	2.5	0.0	0.0	0.75	0.0	NaN	0.0	1.200000000000002	
12	9	0.021724089507274343	2.5	0.007746087346536903	28035.259377321472	2.1201994447075228	0.0	0.0	0.8689635802909738	1.052075984928264	
12	16	0.0	2.5	0.0	0.0	0.75	0.0	NaN	0.0	1.200000000000002	
13	9	0.028887365406796327	2.5	0.010610624880304495	39941.469485008376	2.802024594571699	0.0	0.0	1.1554946162718531	1.0775816671282201	
13	16	0.0	2.5	0.0	0.0	0.75	0.0	NaN	0.0	1.200000000000002	
14	9	0.03850450363332579	2.5	0.014477630766142124	54132.24062573103	3.726575889336659	0.0	0.0	1.5401801453330317	1.0984320519575095	
14	16	0.0	2.5	0.0	0.0	0.75	0.0	NaN	0.0	1.200000000000002	
15	9	0.051874304027310345	2.5	0.019277762198454885	75889.9734130083	5.024096001492617	0.0	0.0	2.074972161092414	1.0845073355151087	
15	16	0.0	2.5	0.0	0.0	0.75	0.0	NaN	0.0	1.200000000000002	
16	9	0.06990762014562056	2.5	0.02534484774234401	103267.5283415184	6.790016140445414	0.0	0.0	2.7963048058248225	1.0883483920801906	
16	16	0.0	2.5	0.0	0.0	0.75	0.0	NaN	0.0	1.200000000000002	
17	9	0.09102768167865988	2.5	0.033902561986079396	122298.94556430336	8.875726883124791	0.0	0.0	3.641107267146395	1.0797712965612245	
17	16	0.0	2.5	0.0	0.0	0.75	0.0	NaN	0.0	1.200000000000002	
18	9	0.11850528775582014	2.5	0.0431263335311635	160406.1485610886	11.611527430624305	0.0	0.0	4.740211510232806	1.0695340709835772	
18	16	0.0	2.5	0.0	0.0	0.75	0.0	NaN	0.0	1.200000000000002	
19	9	0.15581010157765518	2.5	0.05541269595322337	219321.62456449267	15.355687128006341	0.0	0.0	6.232404063106207	1.043424344952646	
19	16	0.0	2.5	0.0	0.0	0.75	0.0	NaN	0.0	1.200000000000002	
20	9	0.20442810249359847	2.5	0.06997497790021069	288168.28369641036	20.274497963790292	0.0	0.0	8.177124099743939	1.0331882444964158	
20	16	0.0	2.5	0.0	0.0	0.75	0.0	NaN	0.0	1.200000000000002	
21	9	0.26712810106005336	2.5	0.08858094142061439	375098.4872742971	26.67844606490947	0.0	0.0	10.685124042402133	1.0039039128605927	
21	16	0.0	2.5	0.0	0.0	0.75	0.0	NaN	0.0	1.200000000000002	
22	9	0.3416779641707802	2.5	0.11064155418652508	458903.66301278444	34.57601816022945	0.0	0.0	13.66711856683121	0.9792884459233575	
22	16	0.0	2.5	0.0	0.0	0.75	0.0	NaN	0.0	1.200000000000002	
23	9	0.4156158494938714	2.5	0.13382452907644796	472059.88119037775	42.524998144220746	0.41944054496402094	0.0108759935204983	16.624633979754858	0.9523573852219145	
23	16	0.0	2.5	0.0	0.0	0.75	0.0	NaN	0.0	1.200000000000002	
24	9	0.4945488525411723	2.5	0.15711515082523753	551616.1637798041	51.84385260704619	1.5158053287243276	0.03207327324210977	19.781954101646892	0.9288219826126997	
24	16	0.0	2.5	0.0	0.0	0.75	0.0	NaN	0.0	1.200000000000002	
25	9	0.581812949871196	2.5	0.1785576335589078	675438.7388761524	63.3077931066657	3.6407848334532864	0.0629058056043028	23.272517994847842	0.9064950668314302	
25	16	0.0	2.5	0.0	0.0	0.75	0.0	NaN	0.0	1.200000000000002	
26	9	0.6742756479881512	2.5	0.19969466260466043	818235.9557251164	77.34923192888557	7.176574701107276	0.10176541816321938	26.97102591952605	0.8773043764580207	
26	16	0.0	2.5	0.0	0.0	0.75	0.0	NaN	0.0	1.200000000000002	
27	9	0.7625154963798121	2.5	0.22138046159248873	858527.1344293868	91.89301047563512	11.823177948491916	0.1407804616384729	30.500619855192483	0.8608322263233306	
27	16	0.0	2.5	0.0	0.0	0.736823564198831	0.0	NaN	0.0	1.200000000000002	
28	9	0.8492498929833439	2.5	0.2391671769021501	939113.9321524994	107.79964680162007	17.667661877738514	0.17915408237094932	33.96999571933375	0.8304062864314055	
28	16	0.003140286284101652	2.5	0.0	0.0	0.5649216917708721	0.0	0.0	0.12561145136406607	1.200000000000002	
29	9	0.9376015341326503	2.5	0.25608399719334857	1087357.749330208	126.53976747480587	24.96384665729324	0.21712933888505098	37.504061365306015	0.8102443073745647	
29	16	0.005224075724198385	2.5	6.351515173824539E-4	2886.8841169833877	0.5315001518522338	0.0	0.0	0.2089630289679354	0.5908912135568951	
30	9	1.025897131885591	2.5	0.27092147100986785	1252640.6718787332	148.63918456470887	33.700641467095416	0.2536702224817442	41.03588527542364	0.7935100958563157	
30	16	0.006163438777358024	2.5	0.0012607953857195345	5193.034460294084	0.6184288677638884	0.0	0.0	0.24653755109432096	0.5476104735710675	
31	9	1.1078902901763623	2.5	0.28418404328095065	1224922.5307674038	169.64718596553936	43.28866896789159	0.2866823086491209	44.31561160705449	0.775533263133309	
