time(d)	tt(dd)	plant#	strip#	row#	pos#	species	weed	age(dd)	age(days)	nrBranches	leafArea(m2)	fpar	accumulated PAR(mol)	rfr	biom(mg)	yield(mg)	leafMass(mg)	stemMass(mg)	rootMass(mg)	shootRootRatio(mg)	aboveBiom(mg)	Nsource(mg)	Total N uptake(mg)	Root length(m)	Plant height	Nphoto(mg)	Nstem(mg)	Ngrain(mg)	Nroots(mg)	
1	16.478616874684274	1	1	1	1	16	0	16.478616874684274	1.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
1	16.478616874684274	2	1	1	2	16	0	16.478616874684274	1.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
1	16.478616874684274	3	1	2	1	16	0	16.478616874684274	1.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
1	16.478616874684274	4	1	2	2	16	0	16.478616874684274	1.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
1	16.478616874684274	5	1	3	1	16	0	16.478616874684274	1.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
1	16.478616874684274	6	1	3	2	16	0	16.478616874684274	1.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
2	32.915498833263186	1	1	1	1	16	0	32.915498833263186	2.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
2	32.915498833263186	2	1	1	2	16	0	32.915498833263186	2.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
2	32.915498833263186	3	1	2	1	16	0	32.915498833263186	2.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
2	32.915498833263186	4	1	2	2	16	0	32.915498833263186	2.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
2	32.915498833263186	5	1	3	1	16	0	32.915498833263186	2.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
2	32.915498833263186	6	1	3	2	16	0	32.915498833263186	2.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
3	49.310182292266525	1	1	1	1	16	0	49.310182292266525	3.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
3	49.310182292266525	2	1	1	2	16	0	49.310182292266525	3.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
3	49.310182292266525	3	1	2	1	16	0	49.310182292266525	3.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
3	49.310182292266525	4	1	2	2	16	0	49.310182292266525	3.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
