time(d)	tt(dd)	plant#	strip#	row#	pos#	species	weed	age(dd)	age(days)	nrBranches	leafArea(m2)	fpar	accumulated PAR(mol)	rfr	biom(mg)	yield(mg)	leafMass(mg)	stemMass(mg)	rootMass(mg)	shootRootRatio(mg)	aboveBiom(mg)	Nsource(mg)	Total N uptake(mg)	Root length(m)	Plant height	Nphoto(mg)	Nstem(mg)	Ngrain(mg)	Nroots(mg)	
1	16.478616874684274	1	1	1	1	16	0	16.478616874684274	1.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
1	16.478616874684274	2	1	1	2	16	0	16.478616874684274	1.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
1	16.478616874684274	3	1	2	1	16	0	16.478616874684274	1.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
1	16.478616874684274	4	1	2	2	16	0	16.478616874684274	1.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
1	16.478616874684274	5	1	3	1	16	0	16.478616874684274	1.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
1	16.478616874684274	6	1	3	2	16	0	16.478616874684274	1.0	0	0.0	0.0	0.0	1.2	300.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
2	16.436881958578915	1	1	1	1	16	0	16.436881958578915	1.0	0	0.0	0.0	0.0	1.2	294.38614596153536	0.0	0.0	0.0	4.957481368784305	0.0	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
2	16.436881958578915	2	1	1	2	16	0	16.436881958578915	1.0	0	0.0	0.0	0.0	1.2	294.38614596153536	0.0	0.0	0.0	4.957481368784305	0.0	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
2	16.436881958578915	3	1	2	1	16	0	16.436881958578915	1.0	0	0.0	0.0	0.0	1.2	294.38614596153536	0.0	0.0	0.0	4.957481368784305	0.0	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
2	16.436881958578915	4	1	2	2	16	0	16.436881958578915	1.0	0	0.0	0.0	0.0	1.2	294.38614596153536	0.0	0.0	0.0	4.957481368784305	0.0	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
2	16.436881958578915	5	1	3	1	16	0	16.436881958578915	1.0	0	0.0	0.0	0.0	1.2	294.38614596153536	0.0	0.0	0.0	4.957481368784305	0.0	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
2	16.436881958578915	6	1	3	2	16	0	16.436881958578915	1.0	0	0.0	0.0	0.0	1.2	294.38614596153536	0.0	0.0	0.0	4.957481368784305	0.0	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
3	32.831565417582254	1	1	1	1	16	0	32.831565417582254	2.0	0	0.0019289012997215586	0.0	0.0	1.2	215.82071213336147	0.0	96.44506498607794	40.44943618591231	14.743506055563593	9.285071044572325	136.89450117199024	1.0E-4	0.0	0.0	0.032592590898275375	0.0	0.0	0.0	0.0	
3	32.831565417582254	2	1	1	2	16	0	32.831565417582254	2.0	0	0.0019289012997215586	0.0	0.0	1.2	215.82071213336147	0.0	96.44506498607794	40.44943618591231	14.743506055563593	9.285071044572325	136.89450117199024	1.0E-4	0.0	0.0	0.032592590898275375	0.0	0.0	0.0	0.0	
3	32.831565417582254	3	1	2	1	16	0	32.831565417582254	2.0	0	0.0019289012997215586	0.0	0.0	1.2	215.82071213336147	0.0	96.44506498607794	40.44943618591231	14.743506055563593	9.285071044572325	136.89450117199024	1.0E-4	0.0	0.0	0.032592590898275375	0.0	0.0	0.0	0.0	
