time(d)	species	LAI	nrShoots	fAbs	assCO2(umol/m2)	biomAbove(gr/m2)	yield(gr/m2)	harvestIndex	leafArea	fieldRFR	
1	9	0.0	10.0	0.0	0.0	2.75	0.0	NaN	0.0	1.200000000000002	
2	9	0.0	10.0	0.0	0.0	2.7090564644083357	0.0	NaN	0.0	1.200000000000002	
3	9	0.0023155177569799687	10.0	0.0	0.0	2.532364521380121	0.0	0.0	0.023155177569799686	1.200000000000002	
4	9	0.0066598702903754425	10.0	5.704466385208196E-4	1932.3767797809312	2.3097321457446567	0.0	0.0	0.06659870290375443	1.2048695262117615	
5	9	0.011709222990891641	10.0	0.0016189376237962562	4645.789746428069	2.133540962859434	0.0	0.0	0.11709222990891642	1.1789898830442924	
6	9	0.017016425694012197	10.0	0.0028969984651492655	7851.24385037223	2.0704576678662323	0.0	0.0	0.17016425694012197	1.1250346401903584	
7	9	0.020781548869697034	10.0	0.004246972889768831	10878.056189454655	2.184141903350685	0.0	0.0	0.20781548869697034	1.1032047776330962	
8	9	0.02368017533119632	10.0	0.005275866079327366	12881.355549921176	2.3939340093271313	0.0	0.0	0.2368017533119632	1.0544039458664871	
9	9	0.027215460504657653	10.0	0.0066675598184032835	15527.162917758167	2.6484248198205154	0.0	0.0	0.2721546050465765	1.0626902094379513	
10	9	0.031628211903313525	10.0	0.008550777269761466	19542.34809906999	2.971178884910151	0.0	0.0	0.31628211903313525	1.057490958626645	
11	9	0.03724823704363719	10.0	0.011631628696562042	25337.362767127874	3.39275545346793	0.0	0.0	0.3724823704363719	1.0591052835973915	
12	9	0.04462996490831696	10.0	0.015512876698025068	33887.983720899516	3.9605138485236693	0.0	0.0	0.4462996490831696	1.0456030536492924	
13	9	0.05401387989876281	10.0	0.020054236912059344	44036.07120203746	4.701310556761668	0.0	0.0	0.5401387989876281	1.0601782080610362	
14	9	0.06574917730956506	10.0	0.025278350802726075	56334.7749083065	5.65146153780452	0.0	0.0	0.6574917730956505	1.0452594703017433	
15	9	0.07964397601162365	10.0	0.030714545576492395	68347.7539208793	6.8045778201549485	0.0	0.0	0.7964397601162365	1.02858112979495	
16	9	0.09577240540477393	10.0	0.03684272622435288	81267.00412614047	8.175087499499877	0.0	0.0	0.9577240540477393	1.0299169464866111	
17	9	0.11476017804654279	10.0	0.04382421513416961	97742.19591273097	9.823499891132476	0.0	0.0	1.147601780465428	1.0230427705089549	
18	9	0.1371164567285215	10.0	0.05156517832401673	117345.88842034973	11.802467539419691	0.0	0.0	1.3711645672852149	1.0170628055221484	
19	9	0.16375841200971664	10.0	0.06181440454810251	142382.90489539626	14.204456899145091	0.0	0.0	1.6375841200971664	1.0103551838372042	
20	9	0.19481128685934007	10.0	0.07205505679921186	169118.9716615831	17.056231168659245	0.0	0.0	1.9481128685934006	0.9991781425020143	
21	9	0.2311131339988127	10.0	0.08471740298317179	201500.86966616646	20.453157716939007	0.0	0.0	2.311131339988127	0.9957442706569398	
22	9	0.27274590349729727	10.0	0.09954301795819516	235483.47458594493	24.41946363493342	0.0	0.0	2.7274590349729726	0.9840894876170354	
23	9	0.3190308049207619	10.0	0.11504629865845227	277266.5352164858	29.087261890834565	0.18328027572479508	0.007060737219538454	3.1903080492076192	0.9682705602160706	
24	9	0.36847149235090165	10.0	0.13376966411066968	320548.93839649565	34.47796052020204	0.7021806488433033	0.02263387520510539	3.6847149235090164	0.9508144682680886	
25	9	0.4206533321439572	10.0	0.15314278637839557	374224.0003994321	40.767815799981335	1.7478676644895828	0.04728288811723614	4.206533321439572	0.9310375787404882	
26	9	0.47490144833136494	10.0	0.17360039783426384	433903.33083350875	48.05541675764899	3.459505794181595	0.07883337421455949	4.749014483313649	0.9108657587355049	
27	9	0.5294346727467956	10.0	0.1942047905013319	483044.52016223257	56.15038826764312	5.8069516416568785	0.11255600451243382	5.294346727467956	0.8963992633646766	
28	9	0.5850994314795553	10.0	0.2139939882805203	542798.9072643573	65.23226149767227	8.867044626885022	0.14715208540982894	5.850994314795553	0.8733322219624995	
29	9	0.6413913612838283	10.0	0.23423008736998077	602115.4724837149	75.28676228309718	12.675764128232313	0.18143007823529259	6.413913612838283	0.8540959798677358	
30	9	0.6981125292737607	10.0	0.2545725368162396	663042.9085066976	86.33541708714576	17.283665364261985	0.214878409160154	6.981125292737607	0.8349738804938087	
31	9	0.7563055479088464	10.0	0.27501409661970955	739445.1906162136	98.64122826356689	22.85237846311805	0.24781905065670035	7.563055479088464	0.8165203108337752	
32	9	0.8139931854652354	10.0	0.2941687418627551	796083.5253799253	111.85128735187679	29.276049148546356	0.27918184914404903	8.139931854652353	0.7993446107863019	
33	9	0.8705476232162048	10.0	0.3133949914723819	847581.8076489652	125.86992632585793	36.54766782892601	0.3089675759423462	8.705476232162049	0.7836928439702295	
34	9	0.9259605884750751	10.0	0.3306645937666926	904194.9331605688	140.78084310915725	44.756249023296576	0.33760696917789795	9.259605884750751	0.7671373972786337	
35	9	0.9786913946061295	10.0	0.3466628905468879	950431.3357553253	156.37602780066715	53.85068773298948	0.36509234441714933	9.786913946061295	0.7528151001910713	
36	9	1.0300629275156612	10.0	0.3608566798287482	1013695.3783242174	172.9899468871323	64.04235459998407	0.3919396693487044	10.300629275156611	0.7395002778709546	
37	9	1.078022602299939	10.0	0.375985204654641	1061676.3817226826	190.30193250828896	75.20409667053971	0.4179002523750046	10.78022602299939	0.7244033430647308	
38	9	1.1224669213053022	10.0	0.3882604774490767	1107897.5718282948	208.30120314684422	87.3575589919226	0.4430740104184858	11.224669213053023	0.7129416390142392	
39	9	1.1636003645338313	10.0	0.40047489007027554	1151835.140566015	226.9730562036385	100.49524863390724	0.4674190714775349	11.636003645338313	0.7037601170071776	
40	9	1.2007009370590773	10.0	0.4108176206473565	1193379.6955179411	246.24324718757458	114.60137658390097	0.49101475999415156	12.007009370590772	0.6928659289184139	
41	9	1.2330613315365804	10.0	0.42064300071339106	1208263.5758867855	265.64310691751973	129.31735940867202	0.5133574884710731	12.330613315365804	0.6848599669062619	
42	9	1.261031906117441	10.0	0.4292358766375663	1229047.4922682068	285.2745880551015	144.70596705288736	0.5347175736282854	12.610319061174412	0.6787263070590174	
43	9	1.2844216984270473	10.0	0.435184788876721	1247677.6127754294	305.09859505666014	160.7528307919353	0.5552656207497345	12.844216984270474	0.6738961635870615	
44	9	1.302083874330858	10.0	0.44104510045867096	1242140.981272846	324.6519071363335	177.11313158153737	0.5748279679167934	13.02083874330858	0.6685124441878948	
45	9	1.315585569856285	10.0	0.44569898720434425	1224564.7312617847	343.80801565133294	193.58029397494255	0.5932019227002076	13.155855698562851	0.6665098272148866	
46	9	1.3246192853691527	10.0	0.44836753047348693	1218762.1659258422	362.70863177773384	210.26767866984974	0.6107319789188949	13.246192853691527	0.6648305601816624	
47	9	1.3310627822043601	10.0	0.45004177686410524	1227133.4490699787	381.6533099336598	227.3121964131488	0.6274567691666256	13.310627822043601	0.664319914729336	
48	9	1.3339919961201048	10.0	0.4514271981147931	1239066.9508031714	400.6178841015093	244.72053041092317	0.6435483157951503	13.339919961201048	0.6623697604023242	
49	9	1.3360466178762977	10.0	0.45141708647087253	1256781.2067119644	419.8240571050659	262.537352047988	0.6588441468399584	13.360466178762978	0.6623826604719043	
