time(d)	species	LAI	nrShoots	fAbs	assCO2(umol/m2)	biomAbove(gr/m2)	yield(gr/m2)	harvestIndex	leafArea	fieldRFR	
1	9	0.0	10.0	0.0	0.0	2.75	0.0	NaN	0.0	1.200000000000002	
2	9	0.0	10.0	0.0	0.0	2.7368979890189955	0.0	NaN	0.0	1.200000000000002	
3	9	4.4105657019637265E-4	10.0	0.0	0.0	2.6951298275728037	0.0	0.0	0.004410565701963727	1.200000000000002	
4	9	0.0016366820893319992	10.0	1.2409122219680753E-4	209.4344107513266	2.6149751315676317	0.0	0.0	0.01636682089331999	1.2030873783134692	
5	9	0.0044039893174445755	10.0	4.8083340673021413E-4	721.7794046905298	2.466994461660793	0.0	0.0	0.04403989317444575	1.232458088058106	
6	9	0.009177382937329576	10.0	0.0011917126163152026	1780.0114435738608	2.269445102780944	0.0	0.0	0.09177382937329576	1.1790942318395452	
7	9	0.01385578244418292	10.0	0.0025244795090788833	3568.2345582207827	2.1303161180867116	0.0	0.0	0.1385578244418292	1.1502346015434721	
8	9	0.018863289217284657	10.0	0.0037674200880152805	5302.773629612561	2.034791696778946	0.0	0.0	0.18863289217284657	1.1078378862231621	
9	9	0.022800887825765923	10.0	0.005051250491652473	7075.617070368647	2.038659471695544	0.0	0.0	0.22800887825765923	1.066671298044744	
10	9	0.02454174028442237	10.0	0.006048961982894381	8449.483988569249	2.172192485105513	0.0	0.0	0.2454174028442237	1.0409371444691826	
11	9	0.02640695513903373	10.0	0.006452969224022438	8902.525343665126	2.3127221408841647	0.0	0.0	0.2640695513903373	1.0490111410749445	
12	9	0.028507239528997093	10.0	0.007150923253816625	9786.027647220437	2.467703393826384	0.0	0.0	0.2850723952899709	1.0523801853880488	
13	9	0.03089211023990627	10.0	0.008053073869226969	10898.029032980054	2.6410212286447607	0.0	0.0	0.3089211023990627	1.0662466543637978	
14	9	0.03365907706721698	10.0	0.009322249689961848	12416.892790391114	2.8396429846087496	0.0	0.0	0.3365907706721698	1.0563272203610188	
15	9	0.036845139978320215	10.0	0.010626654691233093	14181.737731043857	3.067685265943486	0.0	0.0	0.3684513997832022	1.0686133576569041	
16	9	0.04047530564386072	10.0	0.012079771092571107	16129.733998422627	3.328141967668304	0.0	0.0	0.4047530564386072	1.0663353592037998	
17	9	0.04467957295758467	10.0	0.014296273646682366	18726.048328682828	3.632093737172314	0.0	0.0	0.44679572957584673	1.058276271055316	
18	9	0.049586679994102226	10.0	0.016867881495897147	21957.158520767603	3.990310962547267	0.0	0.0	0.4958667999410223	1.0705416853620306	
19	9	0.05528929816876858	10.0	0.01983129739947748	25665.776063511556	4.410750307751235	0.0	0.0	0.5528929816876859	1.067587472363669	
20	9	0.06202933705582112	10.0	0.023692764153661748	30514.623165051635	4.912864768615045	0.0	0.0	0.6202933705582112	1.08220472528138	
