time(d)	species	LAI	nrShoots	fAbs	assCO2(umol/m2)	biomAbove(gr/m2)	yield(gr/m2)	harvestIndex	leafArea	fieldRFR	Av. leaf width	Max leaf width	
1	9	0.0	10.0	0.0	0.0	2.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
1	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
2	9	0.0	10.0	0.0	0.0	2.7273380323166654	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
2	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
3	9	0.001121597046101762	10.0	0.0	0.0	2.6274714914778405	0.0	0.0	0.011215970461017619	1.200000000000002	0.008343522455178056	0.008343522455178056	
3	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
4	9	0.005854628235588131	10.0	3.4162269363568744E-4	851.2034410980335	2.395208195027097	0.0	0.0	0.058546282355881316	1.2062296408292024	0.010227242142459847	0.014341819812269773	
4	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
5	9	0.011343844405130515	10.0	0.0015273130353896161	3431.759819242338	2.193627963068859	0.0	0.0	0.11343844405130515	1.1891317708664275	0.0114291252372998	0.015692766390594783	
5	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
6	9	0.015903523099039616	10.0	0.0027814908377534427	5755.750369706261	2.1082127905394628	0.0	0.0	0.15903523099039615	1.0980518293826935	0.010400421921184398	0.016416090668416494	
6	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
7	9	0.021502072436444714	10.0	0.003994535635611566	8003.148781468824	2.0594918872010304	0.0	0.0	0.21502072436444714	1.0738224428941232	0.010328518619644463	0.01701876375020719	
7	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
8	9	0.023783665766415944	10.0	0.005192907583480248	10364.068640976635	2.224131189524554	0.0	0.0	0.23783665766415943	1.0101247073893924	0.009844463383274427	0.01754786600084866	
8	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
9	9	0.026438996997325125	10.0	0.00629161787539123	11883.578979522588	2.4162648774686355	0.0	0.0	0.26438996997325126	1.0166073428551603	0.008537705418670133	0.018237157195222144	
9	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
10	9	0.029640756536909386	10.0	0.007542557250704528	14101.922982782742	2.6457663319805365	0.0	0.0	0.29640756536909385	1.03447339161023	0.008529030927013242	0.01906230899633146	
10	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
11	9	0.03348923208104178	10.0	0.009048913531971424	16864.827320296652	2.92187456897868	0.0	0.0	0.33489232081041775	1.0430798857665387	0.008283705458341615	0.019915740863949646	
11	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
12	9	0.03813736547315663	10.0	0.011267930293075192	20469.851328512035	3.2589522595395692	0.0	0.0	0.3813736547315663	1.0432161633819645	0.00829609003929467	0.02076729547743704	
12	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
13	9	0.0438381460221645	10.0	0.014185024589915895	25441.24961795535	3.6804020736200904	0.0	0.0	0.43838146022164504	1.0419626933046475	0.008789138427266011	0.021675250986043147	
13	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
14	9	0.050967185261924564	10.0	0.018284810051960174	32261.92788279529	4.217885195524721	0.0	0.0	0.5096718526192456	1.0520897478354474	0.009035236159839963	0.022618098586213355	
14	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
15	9	0.05969892716482191	10.0	0.022473582063086674	40214.755613100744	4.8903515446233445	0.0	0.0	0.5969892716482191	1.044251927679602	0.009294393832466769	0.023636591492914687	
15	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
16	9	0.07006737957907512	10.0	0.027328538457547458	48753.50532863163	5.707103838752119	0.0	0.0	0.7006737957907512	1.0500968540667512	0.009674310137745504	0.02467887366519255	
16	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
17	9	0.08229721999707725	10.0	0.03287510971272138	58640.285188984315	6.690664160371851	0.0	0.0	0.8229721999707724	1.0403319258304247	0.010158749859945953	0.02575216340083702	
17	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
18	9	0.09631411695749056	10.0	0.03838068105739394	68570.24857274014	7.840662158559996	0.0	0.0	0.9631411695749056	1.027962027006996	0.010937784250708536	0.026790949643826955	
18	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
