time(d)	species	LAI	nrShoots	fAbs	assCO2(umol/m2)	biomAbove(gr/m2)	yield(gr/m2)	harvestIndex	leafArea	fieldRFR	Av. leaf width	Max leaf width	
1	9	0.0	10.0	0.0	0.0	2.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
1	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
2	9	0.0	10.0	0.0	0.0	2.7061319261517887	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
2	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
3	9	0.002480911882478538	10.0	0.0	0.0	2.5164027238240716	0.0	0.0	0.024809118824785377	1.200000000000002	0.011327813069025677	0.011327813069025677	
3	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
4	9	0.007240409176362617	10.0	7.744651999880383E-4	2470.2552360157633	2.2980252642371495	0.0	0.0	0.07240409176362617	1.19665546486525	0.01093610635344101	0.015021105315171037	
4	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
5	9	0.011965472671398228	10.0	0.001912924738626527	5509.175268173213	2.164258748128907	0.0	0.0	0.11965472671398228	1.1499355895720154	0.009604980081833366	0.015991622326420804	
5	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
6	9	0.017125728444803753	10.0	0.003096878968013069	8214.666985087266	2.1138856281385263	0.0	0.0	0.17125728444803753	1.1225395816863917	0.008694782059075607	0.01666879390968996	
6	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
7	9	0.021248063247903584	10.0	0.004287725528547777	11141.701470973405	2.2188281435637562	0.0	0.0	0.21248063247903584	1.0937387066806488	0.008520173775460452	0.01740284702357124	
7	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
8	9	0.02432152482693656	10.0	0.005632318430180081	13641.322421302597	2.441631414006852	0.0	0.0	0.2432152482693656	1.0629674512448997	0.008089208182663744	0.01814341428233128	
8	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
9	9	0.02807879577602005	10.0	0.0070920394921627425	16501.93328741633	2.7127893845835183	0.0	0.0	0.2807879577602005	1.0555716437785827	0.007790573738108972	0.01886380945934969	
9	16	0.0	10.0	0.0	0.0	3.7209662414180507	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
10	9	0.03274659617166613	10.0	0.009086617120740336	20658.051406075952	3.0545545800295364	0.0	0.0	0.32746596171666126	1.047849498239581	0.007729448349185992	0.019580147722188166	
10	16	0.008005200140206356	10.0	0.0	0.0	3.414479083361543	0.0	0.0	0.08005200140206356	1.200000000000002	0.034958967672927055	0.03495896767292704	
11	9	0.03869145158190042	10.0	0.01230958354245154	26825.10354878059	3.5014981502407836	0.0	0.0	0.3869145158190042	1.0489140887989508	0.008004304114835908	0.02054593288430981	
11	16	0.029895810553625096	10.0	0.0014324399937781492	7148.972872864424	2.9040575123489516	0.0	0.0	0.29895810553625096	0.8181581519368882	0.0436907213713441	0.0566225392477853	
12	9	0.046293435659843195	10.0	0.01591440516926299	34954.61918084777	4.08711376959241	0.0	0.0	0.46293435659843196	1.0252789418730972	0.0083002873072638	0.02168563066744337	
12	16	0.04873067292126458	10.0	0.005609167870511192	21080.11132289936	2.888281617100853	0.0	0.0	0.4873067292126458	0.4389330164654977	0.057140886038541776	0.06378476108823504	
13	9	0.05589105955841276	10.0	0.020299963037606936	45101.865983090494	4.845632835974177	0.0	0.0	0.5589105955841276	1.0200851967082194	0.008696512313246373	0.02302898934074477	
13	16	0.059096648066984184	10.0	0.009774265300402362	30966.022801241394	3.4085123119936527	0.0	0.0	0.5909664806698418	0.6168840465148822	0.05154726503360187	0.07190770868744169	
14	9	0.06759392478674185	10.0	0.025016356378789215	56299.673166423	5.794200487679889	0.0	0.0	0.6759392478674185	1.0118410496955035	0.009214672647915794	0.024307247470406926	
14	16	0.07311148919598787	10.0	0.012341748302861812	39764.84102659747	4.078586265927212	0.0	0.0	0.7311148919598787	0.5984890423823771	0.047676538558499446	0.07998914058719363	
15	9	0.08150452731653308	10.0	0.031048591240883102	68559.4084562677	6.950044558196322	0.0	0.0	0.8150452731653308	1.0033254025834228	0.009858640223352273	0.025543964960995844	
15	16	0.09099046712249234	10.0	0.014847345065394297	48907.592244566215	4.903488784519601	0.0	0.0	0.9099046712249234	0.5328207340107837	0.054945956272560915	0.08969034467424666	
16	9	0.09790497056128553	10.0	0.037316418078448176	82736.18414599434	8.345179766079564	0.0	0.0	0.9790497056128553	0.994810706514861	0.01048342610390224	0.026802841354818908	
16	16	0.11287425869893064	10.8	0.017279880169194715	58220.08880647614	5.885135876937926	0.0	0.0	1.1287425869893064	0.5906731617451961	0.05402791016020401	0.10039183710302627	
17	9	0.11690660280730783	10.0	0.04434519277943437	97963.33721495264	9.996301138343028	0.0	0.0	1.1690660280730782	0.9933344997053624	0.011020450298685664	0.02804750028778525	
