time(d)	species	LAI	nrShoots	fAbs	assCO2(umol/m2)	biomAbove(gr/m2)	yield(gr/m2)	harvestIndex	leafArea	fieldRFR	Av. leaf width	Max leaf width	
1	9	0.0	10.0	0.0	0.0	2.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
1	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
2	9	0.0	10.0	0.0	0.0	2.7300574684386656	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
2	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
3	9	9.870054005695502E-4	10.0	0.0	0.0	2.6433445029087683	0.0	0.0	0.009870054005695503	1.200000000000002	0.008343522455178056	0.008343522455178056	
3	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
4	9	0.0050940002970375035	10.0	3.4490136177664146E-4	847.7512297500659	2.4308186054970333	0.0	0.0	0.050940002970375035	1.201452946525248	0.010260830531601152	0.014341819812269773	
4	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
5	9	0.010496474953577004	10.0	0.001261185225921821	2899.9808975388423	2.2135227114288236	0.0	0.0	0.10496474953577005	1.2061941679218697	0.011063827152242021	0.015706772021218843	
5	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
6	9	0.016419943700535233	10.0	0.0025295247571576022	5328.450441531944	2.059660212068443	0.0	0.0	0.16419943700535233	1.1153090859562074	0.010552144983654616	0.016432391370044035	
6	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
7	9	0.02133300219061907	10.0	0.0039176972715597655	8122.581540395937	2.044372257595093	0.0	0.0	0.2133300219061907	1.0404442246052459	0.010535654451068934	0.01711331746157478	
7	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
8	9	0.023535917267370955	10.0	0.005128720598799644	10154.870625218658	2.206647277603921	0.0	0.0	0.23535917267370957	1.0231540371144972	0.009673649121866617	0.017726146707347797	
8	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
9	9	0.026086960143006304	10.0	0.00602150516264795	11471.351743807187	2.391714387468093	0.0	0.0	0.26086960143006305	1.0238578452728109	0.008672076692754356	0.018418447351923176	
9	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
10	9	0.029136154168255	10.0	0.007143264525314527	13458.034284114541	2.6101594493938354	0.0	0.0	0.29136154168255	1.0407050016897526	0.008465760230106386	0.019245524616802442	
10	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
11	9	0.03287024116275693	10.0	0.008838133550336533	16338.261522834156	2.8773304242700073	0.0	0.0	0.32870241162756925	1.0472703469132103	0.008108373749892648	0.0201411574494605	
11	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
12	9	0.037463421638954525	10.0	0.011126325428315747	20191.956747640357	3.2098648503734295	0.0	0.0	0.37463421638954525	1.0517766908848	0.008325111036964265	0.020982110325027916	
12	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
13	9	0.043105403978507276	10.0	0.013935752746561446	25100.883161094473	3.6257132278969424	0.0	0.0	0.4310540397850728	1.0737159437069819	0.00863866494469923	0.021822674601685767	
13	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
14	9	0.05009361374582636	10.0	0.017896372138005965	31567.553495778247	4.151462986069024	0.0	0.0	0.5009361374582636	1.0660462824837156	0.009054920692873798	0.02270208562121672	
14	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
15	9	0.05861177841143526	10.0	0.022096008562628205	39150.76657742664	4.805833331127536	0.0	0.0	0.5861177841143526	1.0617008562461665	0.009202645117757584	0.023648920012455363	
15	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
16	9	0.06875732186348613	10.0	0.027314075642116617	47610.14557028295	5.603228173735451	0.0	0.0	0.6875732186348613	1.0618009379919773	0.009521061123512944	0.024637208849776028	
16	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
17	9	0.0807668797651549	10.0	0.03254559065214018	57502.56619594776	6.567659665230195	0.0	0.0	0.807668797651549	1.0453210720930979	0.010153907017196255	0.025673128810583378	
17	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
18	9	0.09478019105853805	10.0	0.03863320568423079	68407.78908423799	7.715654392212405	0.0	0.0	0.9478019105853805	1.0371403364768814	0.010808715288103078	0.02665161502127554	
18	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
