time(d)	species	LAI	nrShoots	fAbs	assCO2(umol/m2)	biomAbove(gr/m2)	yield(gr/m2)	harvestIndex	leafArea	fieldRFR	Av. leaf width	Max leaf width	
1	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
2	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
3	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
4	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
5	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
6	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
7	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
8	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
9	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
10	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
11	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
12	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
13	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
14	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
15	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
16	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
17	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
18	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
19	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
20	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
21	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
22	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
23	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
24	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
25	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
26	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
27	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
28	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
29	16	0.0	10.0	0.0	0.0	3.717678811753867	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
30	16	0.004778467228659161	10.0	0.0	0.0	3.389347512843308	0.0	0.0	0.04778467228659161	1.200000000000002	0.02533717347042904	0.025337173470429013	
31	16	0.016259570926118336	10.0	8.767124907146663E-4	3331.533976025026	2.8054026992405743	0.0	0.0	0.16259570926118336	0.746740223557758	0.03231645303645305	0.040147844702005386	
32	16	0.02380171470401285	10.0	0.002901230670870318	8741.38359444746	2.6060533523130163	0.0	0.0	0.2380171470401285	0.3924573032040924	0.039973649595465	0.0428904513163226	
33	16	0.025837201767919767	10.0	0.004354048330439171	11749.506901450095	2.7932793374434404	0.0	0.0	0.25837201767919765	0.5391241154886879	0.033311276563576304	0.04560650459357671	
34	16	0.028206308076277532	10.0	0.004896517426071329	13037.36239615772	3.0016896112895113	0.0	0.0	0.2820630807627753	0.4569162493356145	0.029513193961853788	0.04791800997086934	
35	16	0.03107243362982414	10.0	0.005776833604268259	15044.67947714539	3.2436803089668222	0.0	0.0	0.3107243362982414	0.41381212174879173	0.031757235171140326	0.050490141979285655	
36	16	0.034620896612939864	11.4	0.006983211946505216	18001.50003564469	3.5355732756880713	0.0	0.0	0.34620896612939867	0.4755038956725589	0.029125525878400216	0.053203568926879344	
37	16	0.03866919868105091	12.5	0.008214122533191544	21113.86897324125	3.879743460307028	0.0	0.0	0.38669198681050915	0.46901624522330637	0.02757507359118399	0.05567187177283424	
38	16	0.04309830275794533	12.4	0.009438889867245788	24252.03113731454	4.268107206119645	0.0	0.0	0.4309830275794533	0.47297526429518943	0.029900338658459435	0.058459325560501645	
39	16	0.04841009040107476	12.9	0.01042604746328926	27208.260124570777	4.71355877752866	0.0	0.0	0.4841009040107476	0.5098115392785689	0.028575056415783694	0.06151812949350902	
40	16	0.054014153356699346	14.3	0.01140547602606623	29641.68849196584	5.179973694519549	0.0	0.0	0.5401415335669935	0.4969381371844064	0.02741568295119668	0.06452864302056177	
41	16	0.06035214293556601	14.8	0.012616768788139594	32470.01446865683	5.710988224967214	0.0	0.0	0.6035214293556601	0.45515660055025664	0.029534881361113718	0.06665179772036417	
42	16	0.06679009889746856	16.8	0.01409036711237437	35206.797647797044	6.27135364258221	0.0	0.0	0.6679009889746856	0.4788639286867978	0.02888920450116831	0.0682738795876503	
43	16	0.07390568474762878	16.9	0.015742781787166284	38977.1222342584	6.908426617074111	0.0	0.0	0.7390568474762877	0.4571758412277999	0.028152459610749938	0.06991896778345108	
44	16	0.08087808640808566	17.0	0.016923195389715522	42265.67873447588	7.592340544081726	0.0	0.0	0.8087808640808567	0.4333126620764373	0.030039470245122723	0.07070464747292655	
45	16	0.08792603234709825	18.4	0.01842689359759006	45306.65999907137	8.318410445639485	0.0	0.0	0.8792603234709825	0.4680132022728196	0.02945813142482029	0.07070464747292655	
46	16	0.09568200984734128	19.7	0.020072907949612747	48857.928297706036	9.093804078977417	0.0	0.0	0.9568200984734128	0.4373480693067321	0.028843470077815132	0.07070464747292655	
47	16	0.10417642363504095	21.3	0.021729677758048058	53539.52333945583	9.934839465516706	0.0	0.0	1.0417642363504096	0.4310697131585621	0.030237957975602695	0.07070464747292655	
48	16	0.11389171969579052	21.1	0.024468057605159736	58859.69098432661	10.893762466322045	0.0	0.0	1.1389171969579053	0.4439906103153575	0.02985861560394423	0.07070464747292655	
49	16	0.12469041804321299	22.5	0.026650029778449512	65604.58809254122	11.963779794492059	0.0	0.0	1.24690418043213	0.4396572308044645	0.029716133186940212	0.07070464747292655	
50	16	0.1363697795171444	20.6	0.029107706698649705	71591.53821565016	13.130934093276355	0.0	0.0	1.3636977951714442	0.43160988668332445	0.031244343885112887	0.07070464747292655	
51	16	0.14839892837984045	23.3	0.03184782552589759	77718.9997749871	14.372818404181217	0.0	0.0	1.4839892837984046	0.4628371940058667	0.03065692566230036	0.07070464747292655	
52	16	0.16181318688066343	23.2	0.03504659673470535	86165.65857997307	15.761821992769768	0.0	0.0	1.6181318688066344	0.4613896243342699	0.030492258905108018	0.07070464747292655	
53	16	0.1761894065941443	25.7	0.03868919959370803	94390.83899053645	17.268301890913982	0.0	0.0	1.761894065941443	0.45418394608074186	0.03221380583959131	0.07070464747292655	
54	16	0.19177420924128535	27.1	0.04253599190640862	103387.89158028935	18.94096895310584	0.0	0.0	1.9177420924128536	0.4769517907449221	0.03175136292997466	0.07070464747292655	
55	16	0.20709267044387883	27.4	0.046071785386770606	111429.78939129357	20.728773653400395	0.0	0.0	2.0709267044387882	0.48025085650259414	0.031265111211465815	0.07070464747292655	
56	16	0.2231709999006725	28.6	0.05003289394765246	118085.3598500758	22.647214477218427	0.0	0.0	2.231709999006725	0.4677084480457182	0.032711444234694964	0.07070464747292655	
57	16	0.24036372077511517	31.2	0.05433633770641726	126962.9475695889	24.691627208425423	0.0	0.0	2.4036372077511516	0.4891566600401109	0.03199281241951086	0.07070464747292655	
58	16	0.258738883328591	29.4	0.05951061358038341	137923.90469736228	26.918630518272373	0.0828129326802459	0.0037346795911737066	2.5873888332859103	0.48580939599680006	0.031263281828602926	0.07070464747292655	
59	16	0.277320890078255	30.8	0.06463718003180444	148037.90752692037	29.306934168979076	0.3001256371841993	0.012448966761638022	2.77320890078255	0.4932766488319884	0.032269980010531	0.07070464747292655	
60	16	0.2964403330835588	31.9	0.07042041875035353	160072.6791218315	31.87394636261495	0.6247095392897715	0.023816216696470972	2.964403330835588	0.5043752688052213	0.031766830196750064	0.07070464747292655	
61	16	0.3152734727555936	32.0	0.07427512657334619	169436.91204015005	34.58116986125371	1.0962411714708764	0.03846287469679811	3.1527347275559356	0.5041485925580655	0.03099564928309661	0.07075290062597821	
62	16	0.3333374885424366	33.2	0.07893949158667404	178933.21945099987	37.41925446459849	1.7167956608000126	0.05551070058393144	3.3333748854243663	0.4991414360878252	0.03177571231659806	0.07075290062597821	
