time(d)	species	LAI	nrShoots	fAbs	assCO2(umol/m2)	biomAbove(gr/m2)	yield(gr/m2)	harvestIndex	leafArea	fieldRFR	Av. leaf width	Max leaf width	
1	9	0.0	10.0	0.0	0.0	2.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
1	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
2	9	0.0	10.0	0.0	0.0	2.7400424716544376	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
2	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
3	9	3.352029933492432E-4	10.0	0.0	0.0	2.701800637755613	0.0	0.0	0.003352029933492432	1.200000000000002	0.005232125666795994	0.005232125666795992	
3	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
4	9	0.0014640941763350223	10.0	1.0516363733020712E-4	170.89705318450737	2.617671197737247	0.0	0.0	0.014640941763350223	1.2106258589162078	0.006857238466443579	0.009034075135109471	
4	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
5	9	0.004257486827404415	10.0	4.4109200904186174E-4	669.555683993673	2.4657194343119917	0.0	0.0	0.04257486827404416	1.2158452845801118	0.00785121486728571	0.012733682113535264	
5	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
6	9	0.009243964196203746	10.0	0.00127336523414135	1834.7626260934321	2.259700068147262	0.0	0.0	0.09243964196203747	1.1820225068228607	0.009252928917757799	0.01605314366957721	
6	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
7	9	0.014762004041781962	10.0	0.002676403602962429	3826.612315901982	2.094642949503038	0.0	0.0	0.14762004041781962	1.1594457073922069	0.010804123967802488	0.016641643117455876	
7	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
8	9	0.019767497190743732	10.0	0.004110490016252256	5758.768266282214	2.0134113501752338	0.0	0.0	0.19767497190743732	1.0922179751493477	0.010718404658039363	0.017174768681619684	
8	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
9	9	0.02304019035746669	10.0	0.005360680583738794	7529.510038360124	2.0574705095299985	0.0	0.0	0.2304019035746669	1.0368031665451998	0.010626973867156997	0.01775176647831412	
9	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
10	9	0.02480736195723555	10.0	0.006162778711503226	8554.200902461846	2.1927018892199124	0.0	0.0	0.24807361957235552	1.0348909636322914	0.01005505770411668	0.01839869893064686	
10	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
11	9	0.026721892269560076	10.0	0.006579938246910604	9093.275810865554	2.3364178672024165	0.0	0.0	0.26721892269560077	1.0512592758923898	0.009269056434660274	0.01908292373021444	
11	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
12	9	0.028913898071625053	10.0	0.007502912483536773	10165.020613609111	2.497844674773565	0.0	0.0	0.28913898071625055	1.0509543305544475	0.00928458157089428	0.019765617508514258	
12	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
13	9	0.03142601355257319	10.0	0.008457334681596996	11423.306730745528	2.6801141171941536	0.0	0.0	0.3142601355257319	1.052023837126589	0.00924548479515354	0.02040663916690677	
13	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
14	9	0.034296088720622016	10.0	0.009531654754094518	12833.38203645525	2.885731257753262	0.0	0.0	0.34296088720622014	1.0413896784680277	0.008458012173916238	0.02106838950923845	
14	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
15	9	0.0376012107240708	10.0	0.01109353522899187	14679.411806270316	3.1221367167092744	0.0	0.0	0.376012107240708	1.0650403418655272	0.00873383328403174	0.021752433157434654	
15	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
16	9	0.04143873432585025	10.0	0.012856449764694815	17025.879634738263	3.3978448415714197	0.0	0.0	0.41438734325850246	1.0702244100679374	0.00877311652284676	0.022431784400752948	
16	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
17	9	0.045834059817244005	10.0	0.01489362163660045	19567.482291776352	3.7159918487797485	0.0	0.0	0.45834059817244005	1.0720990894460873	0.00914124431975493	0.023096320675868615	
17	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
18	9	0.050966705321479754	10.0	0.017548457368238873	22943.158564835343	4.09082824139537	0.0	0.0	0.5096670532147975	1.0652634004251653	0.009470528496297526	0.02380928134216982	
18	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
