time(d)	species	LAI	nrShoots	fAbs	assCO2(umol/m2)	biomAbove(gr/m2)	yield(gr/m2)	harvestIndex	leafArea	fieldRFR	Av. leaf width	Max leaf width	
1	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
2	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
3	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
4	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
5	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
6	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
7	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
8	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
9	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
10	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
11	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
12	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
13	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
14	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
15	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
16	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
17	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
18	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
19	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
20	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
21	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
22	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
23	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
24	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
25	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
26	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
27	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
28	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
29	16	0.0	10.0	0.0	0.0	3.7142253282340043	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
30	16	0.00604857146141381	10.0	0.0	0.0	3.3101107886809857	0.0	0.0	0.0604857146141381	1.200000000000002	0.02879567178232326	0.028795671782323295	
31	16	0.017773682904555308	10.0	0.0010673626410854658	5237.45331999874	2.7649814804824207	0.0	0.0	0.17773682904555307	0.7852471429278652	0.03411201568586488	0.04059805401733944	
32	16	0.02449760720399314	10.0	0.003070155118709982	11331.252794268561	2.685487011345525	0.0	0.0	0.2449760720399314	0.4378796994632391	0.03256971804116279	0.04365348922354835	
33	16	0.02671953290217815	10.0	0.0042018454118278245	12968.573701572477	2.893424096513205	0.0	0.0	0.2671953290217815	0.41863199763631875	0.028752948026660678	0.04608560885701861	
34	16	0.029363503514022345	10.0	0.005010409153868958	14638.946153395702	3.1290725334990137	0.0	0.0	0.29363503514022343	0.35769885196118734	0.030932918390525213	0.04852796771696636	
35	16	0.032701533570476046	10.8	0.006000428339623991	17234.073832086186	3.4083623665861422	0.0	0.0	0.3270153357047605	0.42757457413133865	0.028443693115123944	0.051170816378934045	
36	16	0.0367454928454304	12.7	0.007231701610772546	20778.940431133822	3.7475518138104675	0.0	0.0	0.36745492845430394	0.4347527424018262	0.026958730337043716	0.053865175162042894	
37	16	0.04136957608934541	12.1	0.00838204379400233	23711.184468245305	4.1355608694650945	0.0	0.0	0.4136957608934541	0.46582351495835417	0.029384269413172414	0.05644645009722029	
38	16	0.046905185921452035	13.3	0.00958778974521181	27656.528613951134	4.589717148114649	0.0	0.0	0.46905185921452036	0.513318429512389	0.028282223595143294	0.059072593493121016	
39	16	0.05326664705448747	14.8	0.010568758570014198	31335.623820057615	5.104935170784556	0.0	0.0	0.5326664705448747	0.4724625633990223	0.027302845798965022	0.06180681288242341	
40	16	0.06021735906196435	15.7	0.011843504473137924	34727.81459792139	5.675803710914825	0.0	0.0	0.6021735906196435	0.45902392071618076	0.029591981265028683	0.06403276430709022	
41	16	0.06747335492552074	16.8	0.013516060031725579	39620.409249381024	6.309761888127321	0.0	0.0	0.6747335492552075	0.4798869398206106	0.029206914742948883	0.06608426038708005	
42	16	0.07513485630037967	17.9	0.015206967958672706	44254.808300459794	7.026653760170895	0.0	0.0	0.7513485630037967	0.4698087146780757	0.028475918390345308	0.0674115919641086	
43	16	0.0826378604487991	18.8	0.016569219845846726	47803.62603109686	7.792901413391343	0.0	0.0	0.826378604487991	0.4579378493425043	0.028119070884422927	0.06779256143740246	
44	16	0.09108895715374699	20.6	0.018580681776503315	52819.45048942977	8.660974871428163	0.0	0.0	0.9108895715374699	0.43435807570478924	0.027893461976659803	0.06779256143740246	
45	16	0.10055235089580641	20.5	0.02058636960656334	58255.71491842585	9.617947457963439	0.0	0.0	1.005523508958064	0.4243064140798132	0.029524179891456313	0.06779256143740246	
46	16	0.11066798346890827	20.0	0.02265322104948986	63651.77854327868	10.662520086057546	0.0	0.0	1.1066798346890827	0.4484297398156729	0.02937576195444003	0.06779256143740246	
47	16	0.1219186113604354	22.9	0.025003407789807565	71319.13300042534	11.8336869980043	0.0	0.0	1.219186113604354	0.44588231212383844	0.02934408875312809	0.06779256143740246	
48	16	0.13418690645357312	21.2	0.027282720999003172	77568.83642224563	13.092085133352494	0.0	0.0	1.3418690645357312	0.4432200008598398	0.030945973389035698	0.06779256143740246	
49	16	0.14808753664584343	22.9	0.030402973849606864	87320.69365131563	14.525770772362145	0.0	0.0	1.4808753664584342	0.4631913359896358	0.031016264695543506	0.06779256143740246	
50	16	0.16354182457105343	24.6	0.034137156565093744	97415.73825999653	16.1257408732883	0.0	0.0	1.6354182457105342	0.4755934422241986	0.031176778880302455	0.06779256143740246	
51	16	0.18097772059479025	26.8	0.03819284907127539	109288.61747192769	17.907319359340732	0.0	0.0	1.8097772059479025	0.4779232045579749	0.0329023651680962	0.06779256143740246	
52	16	0.2002491770775189	24.8	0.042340899899542435	119700.06839751701	19.872895289442834	0.0	0.0	2.002491770775189	0.5001363686832849	0.03255572619119847	0.06779256143740246	
53	16	0.22058208759545334	27.7	0.04683093093115572	132532.05727595248	22.035652870140414	0.0	0.0	2.2058208759545335	0.5077547063335723	0.03216024328988366	0.06779256143740246	
54	16	0.2416281327213698	26.7	0.05250727250899049	143398.7192390539	24.35817575892093	0.0	0.0	2.416281327213698	0.5110277954058519	0.033501617418578544	0.06779256143740246	
55	16	0.2646426808471919	30.0	0.05819507788673506	157650.92865368683	26.941730598251176	0.0	0.0	2.6464268084719187	0.5419128964498721	0.03339368389472157	0.06779256143740246	
56	16	0.28858771733892674	32.0	0.06323584713601095	176691.78646835394	29.839736254762762	0.09702094114459661	0.003943432690629655	2.885877173389267	0.5422692243698506	0.03326636149222218	0.06779256143740246	
57	16	0.3126228622211981	30.9	0.06946614640947522	190355.71379355624	32.93888658160826	0.3806680281609343	0.014038705598259985	3.1262286222119813	0.5447120041445739	0.034143384264250294	0.06779256143740246	
58	16	0.33772293957842947	29.9	0.07474794733490221	209337.54409461125	36.3415989343807	0.8285594146307321	0.027696727229033304	3.3772293957842945	0.5661696007857899	0.03391197487665423	0.06855857691594533	
59	16	0.3628116539706324	34.7	0.08177693323019077	226500.36912010942	40.015604815650576	1.5064156175171308	0.04568884026047874	3.6281165397063244	0.5617553806388909	0.03329530773757427	0.07160470954009465	
60	16	0.3879913078107942	34.1	0.08712875450956631	242085.51937022168	43.95147897649097	2.4229005715739946	0.06673247920846806	3.879913078107942	0.568474030911267	0.03419864965228657	0.07347883390528816	
61	16	0.414575024072418	35.6	0.09367413144728684	263231.8636447444	48.218426126829556	3.530981483368481	0.08832180277403802	4.14575024072418	0.5768746519845196	0.03381133284499179	0.07448811084032059	
62	16	0.44175493567526936	40.9	0.09957010992767766	279603.6616269236	52.73742509535634	4.862049485373982	0.11074639692795075	4.417549356752693	0.5779748671688076	0.0333023112516815	0.07448811084032059	
