time(d)	species	LAI	nrShoots	fAbs	assCO2(umol/m2)	biomAbove(gr/m2)	yield(gr/m2)	harvestIndex	leafArea	fieldRFR	Av. leaf width	Max leaf width	
1	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
2	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
3	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
4	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
5	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
6	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
7	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
8	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
9	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
10	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
11	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
12	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
13	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
14	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
15	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
16	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
17	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
18	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
19	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
20	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
21	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
22	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
23	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
24	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
25	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
26	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
27	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
28	16	0.0	10.0	0.0	0.0	3.75	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
29	16	0.0	10.0	0.0	0.0	3.727953742993383	0.0	NaN	0.0	1.200000000000002	NaN	-Infinity	
30	16	0.0	10.0	0.0	0.0	3.6824218349808673	0.0	NaN	0.0	1.200000000000002	0.0	0.0	
31	16	9.491043271837171E-4	10.0	0.0	7.513537159259004E-9	3.5810683448591414	0.0	0.0	0.00949104327183717	0.6000000000000005	0.005702179630420032	0.011180744373372624	
32	16	0.0037035617777523033	10.0	2.0563378135707945E-4	425.73853546961817	3.391643922916747	0.0	0.0	0.03703561777752303	0.07382646051016489	0.015258583652653838	0.019174057192036086	
33	16	0.008151472458772124	10.0	7.690370752802781E-4	1541.1230943463183	3.1437228486127755	0.0	0.0	0.08151472458772124	0.1676769055512085	0.023084266590220656	0.026839734720332284	
34	16	0.01417894907646133	10.0	0.001579808330361981	3028.0931555824072	2.8582803384651183	0.0	0.0	0.1417894907646133	0.28791724771106125	0.030636348149606252	0.03428594874484198	
35	16	0.020461016864867617	10.0	0.0027515462949561226	4967.22957293234	2.6223027795271143	0.0	0.0	0.20461016864867618	0.36065371020743336	0.03697738155190431	0.04038640963179725	
36	16	0.023839612862947716	10.0	0.003969179074957085	7029.762439687411	2.6033742439733425	0.0	0.0	0.23839612862947718	0.4468668494872003	0.0400073014731918	0.042089266436440606	
37	16	0.025178190497567116	10.0	0.00482195563736188	8517.878641545853	2.7342975768126307	0.0	0.0	0.25178190497567116	0.49207992014156404	0.032756941527654064	0.04389119467564992	
38	16	0.02656996895409238	10.0	0.004768835661174563	8605.941630748883	2.8658742920285523	0.0	0.0	0.2656996895409238	0.41325130352697187	0.028150104678102916	0.04518442920276097	
39	16	0.028004738267315133	10.0	0.004975107032515306	8806.337251902532	3.0000577196672835	0.0	0.0	0.2800473826731513	0.3399962817736406	0.029205819231269504	0.0468208161847932	
40	16	0.029571373482613482	10.0	0.005546601614265334	9600.424492369024	3.1471771451345125	0.0	0.0	0.29571373482613483	0.3746398291891487	0.030497228636106998	0.04878407078129905	
41	16	0.03129497274194859	10.0	0.005925137592859526	10398.159911321478	3.3072090636015807	0.0	0.0	0.3129497274194859	0.3957108759629756	0.03170244888058821	0.05065606108733586	
42	16	0.03318215878104848	10.0	0.00638478861114607	11098.16628089849	3.4783633302022623	0.0	0.0	0.3318215878104848	0.39346027305854503	0.032916668220977524	0.05244666444403785	
43	16	0.03523181750259194	10.0	0.006727776872278394	11645.132091658259	3.6578978845514776	0.0	0.0	0.3523181750259194	0.41790814003383114	0.03414450887856734	0.053947881928512034	
44	16	0.037538361099882574	11.2	0.007135406288798982	12544.110009181395	3.8518911634682893	0.0	0.0	0.3753836109988257	0.43619536942158754	0.030291528607035195	0.05581076123884746	
45	16	0.040070739657037106	12.1	0.007841676636181991	13455.329840141125	4.060459182396609	0.0	0.0	0.4007073965703711	0.4039681509521225	0.027587055356707454	0.05783669118370329	
46	16	0.04259989224362159	12.5	0.007693159408279363	13473.237551891612	4.267935216305579	0.0	0.0	0.4259989224362159	0.3519808995553712	0.02853689036065978	0.059730942760195055	
47	16	0.045255200569326234	12.4	0.008224423663518431	14033.62467286322	4.483780925883084	0.0	0.0	0.45255200569326237	0.36911244231217144	0.02948738210834563	0.061489210597106395	
48	16	0.04796952469491221	13.0	0.008540947785358091	14467.386576742452	4.705733147254039	0.0	0.0	0.47969524694912213	0.3674806512607236	0.03065961278501031	0.06305936723947525	
49	16	0.050644309295066525	12.5	0.009200693966628062	15457.133048282169	4.932656876354498	0.0	0.0	0.5064430929506653	0.39018720239612653	0.03194833155716423	0.06475841360432762	
50	16	0.05295824330178243	12.6	0.00933498221473069	15754.703735321755	5.14068328771455	0.0	0.0	0.5295824330178243	0.407361460706005	0.03300972820026464	0.06652636187417167	
51	16	0.05503084878176556	13.2	0.009669110967374136	16032.957672783441	5.335018620883502	0.0	0.0	0.5503084878176556	0.42066140740075303	0.033961077081667436	0.06880082190036774	
52	16	0.05585103294295034	14.1	0.010055038458784624	16422.26583744613	5.4567354299358355	0.0	0.0	0.5585103294295034	0.4394829250210023	0.030520854646715483	0.07108527634825025	
53	16	0.057992581111454625	15.3	0.010378088487319671	17024.88142778087	5.657175278497185	0.0	0.0	0.5799258111145462	0.3896259136763003	0.028086497248815633	0.0732041522860527	
54	16	0.060518041864319604	14.1	0.010796807154263016	17498.325099604765	5.883320440291412	0.0	0.0	0.605180418643196	0.3352626217591632	0.028815259850282843	0.07530854748828071	
55	16	0.06105919515199019	14.7	0.011029231666429716	17864.96383310703	5.998693264889882	0.0	0.0	0.6105919515199019	0.33273118058140017	0.0290284769712574	0.07737327367067337	
56	16	0.061205329245786075	13.7	0.01169280787868844	18504.15012175823	6.096857916647621	0.0	0.0	0.6120532924578608	0.3423896009617993	0.029115020987607595	0.0795056883777891	
57	16	0.06264241283034862	15.6	0.012126880008731886	18995.527180772067	6.275761692628219	0.0	0.0	0.6264241283034861	0.349571548647775	0.02978051149720293	0.08151540798800333	
58	16	0.06365719962846199	15.8	0.01271996584369533	19724.73340128925	6.436920742848369	0.0	0.0	0.6365719962846199	0.36086915112931356	0.030242835844403553	0.08332908685718264	
59	16	0.0662992328856002	16.3	0.013447564152492583	20951.461771698258	6.7027292192678	0.0	0.0	0.662992328856002	0.38454980448393256	0.02806172880106805	0.08511725813150406	
60	16	0.06775976220890421	16.9	0.01364555839763101	21312.755179997068	6.904040469122812	0.0	0.0	0.6775976220890422	0.33936233341946925	0.02599807300021194	0.08675010076590947	
61	16	0.06922113272075824	16.8	0.014355916969516113	22236.977881713792	7.113641680394561	0.0	0.0	0.6922113272075824	0.30183295940769517	0.02640559670456878	0.08827602756874903	
62	16	0.07213441618190465	17.7	0.015457598522291853	23717.819878821265	7.414469889436063	0.0	0.0	0.7213441618190465	0.31743684243898973	0.027098218448459076	0.08964886622769493	
